Movie_Num,Title,Production Budget,Domestic,International,Worldwide,Profitable,Genre,Runtime (minutes),Distributor,Rating ,Theaters,Month of Release,,,,,,,,,,,,
1,Star Wars Ep. VII: The Force Awakens,200000000,934072722,1122000000,2056072722,1,Sci-Fi Fantasy,136,Disney,PG-13,4134,12,,,,,,,,,,,,
2,Avatar,237000000,760507625,2023411357,2783918982,1,Sci-Fi Fantasy,162,Fox,PG-13,3461,12,,,,,,,,,,,,
3,Titanic,200000000,658672302,1548943366,2207615668,1,Drama,210,Paramount,PG-13,3265,12,,,,,,,,,,,,
4,Jurassic World,150000000,652198010,1018130015,1670328025,1,Science fiction,124,Universal,PG-13,4291,6,,,,,,,,,,,,
5,The Avengers,220000000,623279547,896200000,1519479547,1,Action / Adventure,142,Bueno Vista,PG-13,4349,5,,,,,,,,,,,,
6,The Dark Knight,180000000,533345358,469546000,1002891358,1,Action / Adventure,150,Warner Bros,PG-13,4366,7,,,,,,,,,,,,
7,Star Wars Ep. I: The Phantom Menace,115000000,474544677,552500000,1027044677,1,Sci-Fi Fantasy,133,Fox,PG,3126,5,,,,,,,,,,,,
8,Star Wars Ep. IV: A New Hope,13000000,460935665,325600000,786535665,1,Sci-Fi Fantasy,121,Fox,PG,1750,5,,,,,,,,,,,,
9,The Avengers: Age of Ultron,279900000,459005868,945700000,1404705868,1,Action / Adventure,141,Bueno Vista,PG-13,4276,5,,,,,,,,,,,,
10,The Dark Knight Rises,250000000,448139099,636300000,1084439099,1,Action Thriller,165,Warner Bros,PG-13,4404,7,,,,,,,,,,,,
11,Shrek 2,125000000,436471036,495781885,932252921,1,Animation,93,DreamWorks,PG,4223,5,,,,,,,,,,,,
12,ET: The Extra-Terrestrial,10500000,434949459,357854772,792804231,1,Family Adventure,117,Universal,PG,1103,6,,,,,,,,,,,,
13,The Hunger Games: Catching Fire,140000000,424668047,440200000,864868047,1,Action / Adventure,146,LionsGate,PG-13,4163,11,,,,,,,,,,,,
14,Pirates of the Caribbean: Dead Mans Chest,225000000,423315812,642900000,1066215812,1,Period Adventure,151,Bueno Vista,PG-13,4133,7,,,,,,,,,,,,
15,The Lion King,79300000,422780140,564700000,987480140,1,Animation,89,Bueno Vista,G,2624,6,,,,,,,,,,,,
16,Toy Story 3,200000000,415004880,654813349,1069818229,1,Animation,103,Bueno Vista,G,4028,6,,,,,,,,,,,,
17,Iron Man 3,200000000,408992272,806400000,1215392272,1,Action / Adventure,129,Bueno Vista,PG-13,4253,5,,,,,,,,,,,,
18,The Hunger Games,78000000,408010692,269912687,677923379,1,Action / Adventure,142,Lions Gate,PG-13,4137,3,,,,,,,,,,,,
19,Spider-Man,139000000,403706375,418000000,821706375,1,Action / Adventure,121,Sony,PG-13,3876,5,,,,,,,,,,,,
20,Transformers: Revenge of the Fallen,200000000,402111870,434407829,836519699,1,Sci-Fi Action,144,Paramount,PG-13,4293,6,,,,,,,,,,,,
21,Frozen,150000000,400738009,873496971,1274234980,1,Animation,108,Bueno Vista,PG,3742,11,,,,,,,,,,,,
22,Jurassic Park,63000000,395708305,643104279,1038812584,1,Sci-Fi Horror,127,Universal,PG-13,2566,6,,,,,,,,,,,,
