@relation 'Movie_Data-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-R4,7'

@attribute Genre {'Sci-Fi Fantasy','Drama','Science fiction','Action / Adventure','Action Thriller','Animation','Family Adventure','Period Adventure','Sci-Fi Action','Sci-Fi Horror','Fantasy','Historical Drama','Action','Comedy / Drama','Romance','Horror','Action Adventure','Animation','Comedy','Family Comedy','Sci-Fi Thriller','Horror Thriller','Sci-Fi Adventure`','Sports Drama','Sci-Fi Comedy','Adventure','Action Drama','War','Historical Epic','Action','Sci-Fi Adventure','Period Drama','Thriller','Action Comedy','Crime Drama','Sci-Fi','Fantasy Comedy','Crime Comedy','Action / Crime','War Drama','Western','Unknown','Drama Thriller','Family','Adventure Comedy','Sports Action','Romantic Comedy'}
@attribute 'Runtime (minutes)' {'(-inf-96.6)','(96.6-110.2)','(110.2-123.8)','(123.8-inf)'}
@attribute Distributor {'Disney','Fox','Paramount','Universal','Buena Vista','Warner Bros','DreamWorks','Sony','Newmarket','Buena Vista','Sony / Columbia','New Line','Warner Bros.','Summit Entertainment','Lionsgate','Columbia','Orion Pictures','MGM','Lionsgate / Summit','Sony (Revolution)','Miramax','United Artists','TriStar','Clarius Entertainment','Samuel Goldwyn','Weinstein Company','Freestyle Releasing'}
@attribute 'Rating ' {'PG-13','PG','G','R','PG','NR'}
@attribute Theaters {'(-inf-445.9)','(445.9-892.8)','(892.8-1339.7)','(1339.7-1786.6)','(1786.6-2233.5)','(2233.5-2680.4)','(2680.4-3127.3)','(3127.3-3574.2)','(3574.2-inf)'}
@attribute 'Month of Release' real
@attribute Profitable real

@data
'Sci-Fi Fantasy','(123.8-inf)','Disney','PG-13','(3574.2-inf)',12,1
'Sci-Fi Fantasy','(123.8-inf)','Fox','PG-13','(3127.3-3574.2)',12,1
'Drama','(123.8-inf)','Paramount','PG-13','(3127.3-3574.2)',12,1
'Science fiction','(123.8-inf)','Universal','PG-13','(3574.2-inf)',6,1
'Action / Adventure','(123.8-inf)','Buena Vista','PG-13','(3574.2-inf)',5,1
'Action / Adventure','(123.8-inf)','Warner Bros','PG-13','(3574.2-inf)',7,1
'Sci-Fi Fantasy','(123.8-inf)','Fox','PG','(2680.4-3127.3)',5,1
'Sci-Fi Fantasy','(110.2-123.8)','Fox','PG','(1339.7-1786.6)',5,1
'Action / Adventure','(123.8-inf)','Buena Vista','PG-13','(3574.2-inf)',5,1
'Action Thriller','(123.8-inf)','Warner Bros','PG-13','(3574.2-inf)',7,1
'Animation','(-inf-96.6)','DreamWorks','PG','(3574.2-inf)',5,1
'Family Adventure','(110.2-123.8)','Universal','PG','(892.8-1339.7)',6,1
'Action / Adventure','(123.8-inf)','Lionsgate','PG-13','(3574.2-inf)',11,1
'Period Adventure','(123.8-inf)','Buena Vista','PG-13','(3574.2-inf)',7,1
'Animation','(-inf-96.6)','Buena Vista','G','(2233.5-2680.4)',6,1
'Animation','(96.6-110.2)','Buena Vista','G','(3574.2-inf)',6,1
'Action / Adventure','(123.8-inf)','Buena Vista','PG-13','(3574.2-inf)',5,1
'Action / Adventure','(123.8-inf)','Lionsgate','PG-13','(3574.2-inf)',3,1
'Action / Adventure','(110.2-123.8)','Sony','PG-13','(3574.2-inf)',5,1
'Sci-Fi Action','(123.8-inf)','Paramount','PG-13','(3574.2-inf)',6,1
'Animation','(96.6-110.2)','Buena Vista','PG','(3574.2-inf)',11,1
'Sci-Fi Horror','(123.8-inf)','Universal','PG-13','(2233.5-2680.4)',6,1
'Fantasy','(123.8-inf)','Warner Bros.','PG-13','(3574.2-inf)',7,1
'Animation','(96.6-110.2)','Buena Vista','G','(3127.3-3574.2)',5,1
'Sci-Fi Fantasy','(123.8-inf)','Fox','PG-13','(3574.2-inf)',5,1
'Fantasy','(123.8-inf)','New Line','PG-13','(3574.2-inf)',12,1
'Action / Adventure','(123.8-inf)','Sony','PG-13','(3574.2-inf)',6,1
'Historical Drama','(123.8-inf)','Newmarket','R','(3127.3-3574.2)',2,1
'Animation','(96.6-110.2)','Universal','PG','(3574.2-inf)',7,1
'Animation','(-inf-96.6)','Buena Vista','PG','(3574.2-inf)',6,1
'Sci-Fi Action','(123.8-inf)','Paramount','PG-13','(3574.2-inf)',6,1
'Action','(96.6-110.2)','Fox','R','(3574.2-inf)',2,1
'Action','(123.8-inf)','Universal','PG-13','(3574.2-inf)',4,1
'Drama','(123.8-inf)','Warner Bros','R','(3574.2-inf)',12,1
'Fantasy','(123.8-inf)','New Line','PG-13','(3574.2-inf)',12,1
'Action / Adventure','(110.2-123.8)','Lionsgate','PG-13','(3574.2-inf)',11,1
'Action / Adventure','(123.8-inf)','Sony','PG-13','(3574.2-inf)',5,1
'Animation','(-inf-96.6)','Universal','PG','(3574.2-inf)',7,1
'Family Adventure','(96.6-110.2)','Buena Vista','PG','(3574.2-inf)',3,1
'Action / Adventure','(110.2-123.8)','Buena Vista','PG-13','(3574.2-inf)',8,1
'Comedy / Drama','(123.8-inf)','Paramount','PG-13','(2233.5-2680.4)',7,1
